06/10/2018 16:40:10 [INFO]: Launcher            [L101] CREATED
06/10/2018 16:40:10 [INFO]: HideableLauncher    [L102] CREATED
06/10/2018 16:40:10 [INFO]: MissileDestructor   [D201] CREATED
06/10/2018 16:40:10 [INFO]: MissileDestructor   [D202] CREATED
06/10/2018 16:40:10 [INFO]: LauncherDestructor  [LD10] CREATED
06/10/2018 16:40:10 [INFO]: LauncherDestructor  [LD11] CREATED
06/10/2018 16:40:10 [INFO]: LauncherDestructor  [LD11] Trying to destruct launcher L102 at: 0
06/10/2018 16:40:10 [INFO]: LauncherDestructor  [LD11] Trying to destruct launcher L102 at: 0
06/10/2018 16:40:10 [INFO]: LauncherDestructor  [LD10] Trying to destruct launcher L101 at: 0
06/10/2018 16:40:12 [INFO]: MissileDestructor   [D201] Try to destruct missile: M1 at: 2
06/10/2018 16:40:12 [INFO]: Launcher            [L101] Launched a missile at: 2, Destination:Sderot
06/10/2018 16:40:14 [INFO]: HideableLauncher    [L102] Launched a missile at: 4, Destination:Ofakim
06/10/2018 16:40:14 [INFO]: MissileDestructor   [D201] Try to destruct missile: M3 at: 4
06/10/2018 16:40:14 [INFO]: LauncherDestructor  [LD10] Destruction of launcher L101: Succeeded! at: 4
06/10/2018 16:40:15 [INFO]: MissileDestructor   [D202] Try to destruct missile: M2 at: 5
06/10/2018 16:40:17 [INFO]: HideableLauncher    [L102] Missile Hit! damage: 5000.0 at: 7
06/10/2018 16:40:19 [INFO]: HideableLauncher    [L102] Launched a missile at: 9, Destination:Beer-Sheva
06/10/2018 16:40:19 [INFO]: MissileDestructor   [D201] Try to destruct missile: M4 at: 9
06/10/2018 16:40:22 [INFO]: MissileDestructor   [D201] Destruction of missile M4: Succeeded!
06/10/2018 16:40:22 [INFO]: LauncherDestructor  [LD11] Destruction of launcher L102: Succeeded! at: 12
06/10/2018 16:40:24 [INFO]: Launcher            [L101] Missile Hit! damage: 1500.0 at: 14
